,Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
27,Diário de Notícias,DiariodeNoticias.pt,196064380421881,MEDIA_NEWS_COMPANY,PT,Esta é a página Facebook do Diário de Notícias - Há mais de 150 anos a contar as histórias de Portugal e do mundo,2011-02-24 13:02:07,1329048.0,1335827.0,2022-01-12 19:27:42 WET,2022-01-12,19:27:42,Link,456,86,241,12,2,2,77,21,13,2,,-,0,0,0,,https://www.facebook.com/196064380421881/posts/5427918490569751,,https://www.dn.pt/politica/debate-cdschega-meia-hora-de-ofensas-e-aguas-totalmente-separadas-14485216.html,,,Debate CDS/Chega. Meia hora de ofensas e águas totalmente separadas,"Da ""direita mariquinhas"" ao ""partido catavento"". Foi assim o debate entre Francisco Rodrigues dos Santos e André Ventura.",,,,456,3.74
29,CNN Portugal,cnnportugal,101826228779402,TV_CHANNEL,PT,"CNN Portugal. A força da informação, 24 horas por dia, em direto e em português.  Acompanhe no canal 7, em cnnportugal.pt e descarregue a nossa app. #EmTodasAsFrentes
",2021-05-24 11:30:20,1155496.0,1138998.0,2022-01-12 23:00:00 WET,2022-01-12,23:00:00,Native Video,421,173,156,40,6,2,34,2,8,0,owned,Yes,10691,10816,0,00:03:36,https://www.facebook.com/101826228779402/posts/235965302032160,"Veja aqui o resumo do debate que está a dar que falar. Francisco Rodrigues dos Santos ou André Ventura, quem foi o vencedor?",https://www.facebook.com/cnnportugal/videos/345345053814127/,,,Decisão 22: Debate CDS - Chega (em 3 minutos),,,,,421,2.26
30,CNN Portugal,cnnportugal,101826228779402,TV_CHANNEL,PT,"CNN Portugal. A força da informação, 24 horas por dia, em direto e em português.  Acompanhe no canal 7, em cnnportugal.pt e descarregue a nossa app. #EmTodasAsFrentes
",2021-05-24 11:30:20,1155288.0,1138621.0,2022-01-07 21:11:35 WET,2022-01-07,21:11:35,Live Video Complete,401,133,178,23,28,1,29,3,6,0,owned,Yes,11112,11222,0,00:28:44,https://www.facebook.com/101826228779402/posts/311214127586615,DECISÃO 22: Rui Rio e Francisco Rodrigues dos Santos frente a frente. Acompanhe aqui o debate e deixe os seus comentários.,https://www.facebook.com/cnnportugal/videos/311214127586615/,,,Debate PSD-CDS,,,,,401,-3.7
31,SIC Notícias,sicnoticias,150808986387,TV_CHANNEL,PT,"Obrigado por visitar a SIC Notícias. 

Aqui pode seguir os conteúdos que passam na televisão e os exclusivos do site: em texto, vídeo e em fotos. 

Acompanhe também as notícias de última hora em direto. 

http://sicnoticias.pt/ ",2009-09-09 10:03:09,1763539.0,1940118.0,2022-01-05 08:35:25 WET,2022-01-05,08:35:25,Link,364,63,242,4,0,1,48,4,1,1,,-,0,0,0,,https://www.facebook.com/150808986387/posts/10160366024546388,"Francisco Rodrigues dos Santos e Inês de Sousa Real estiveram em debate, tendo o líder do CDS procurado caracterizar o PAN como radical.",https://sicnoticias.pt/eleicoes-legislativas/legislativas-cds-e-pan-separados-pelo-mundo-rural-e-pelas-touradas/,,,Legislativas: CDS e PAN separados pelo “mundo rural” e pelas touradas,"Francisco Rodrigues dos Santos e Inês de Sousa Real estiveram em debate, tendo o líder do CDS procurado caracterizar o PAN como radical.",,,,364,3.53
33,CNN Portugal,cnnportugal,101826228779402,TV_CHANNEL,PT,"CNN Portugal. A força da informação, 24 horas por dia, em direto e em português.  Acompanhe no canal 7, em cnnportugal.pt e descarregue a nossa app. #EmTodasAsFrentes
",2021-05-24 11:30:20,1155496.0,1138998.0,2022-01-12 21:46:00 WET,2022-01-12,21:46:00,Photo,358,59,176,71,1,1,45,3,2,0,,-,0,0,0,,https://www.facebook.com/101826228779402/posts/235932142035476,"Os momentos que marcaram o debate entre o CDS e o Chega. Na sua opinião, qual foi o candidato a sair vencedor do frente a frente?",https://www.facebook.com/cnnportugal/photos/a.129237229371635/235932052035485/?type=3,,"DECISÃO 22 "" Ventura diz que OS políticos deviam reduzir Os próprios ordenados. Para cortar Ο seu ordenado não é preciso uma lei, então faça-o e dê o exemplo CNN PORTUGAL Francisco Rodrigues dos Santos, Líder do CDS Debate com o Chega",Photos from CNN Portugal's post,,,,,358,1.42
35,Notícias ao Minuto,NoticiasAoMinuto,399457500101727,NEWS_SITE,PT,https://www.noticiasaominuto.com -  Seja o primeiro a saber,2012-07-03 16:29:31,988493.0,995404.0,2022-01-13 00:45:00 WET,2022-01-13,00:45:00,Link,346,61,205,10,0,2,57,4,6,1,,-,0,0,0,,https://www.facebook.com/399457500101727/posts/4854182214629211,"Da esquerda à direita, Rodrigues dos Santos conseguiu arrancar aplausos de todos os quadrantes",https://www.noticiasaominuto.com/politica/1909937/um-enxovalho-de-estilo-deplorvel-as-reaes-ao-debate-cds-vs-chega,,,"Um ""enxovalho"" de ""estilo deplorável"". As reações ao debate CDS vs Chega", ,,,,346,6.92
36,Renascença,renascenca,105044957514,BROADCASTING_MEDIA_PRODUCTION,PT,"A par com o mundo 

Ouvir online: http://rr.sapo.pt/",2009-07-22 15:58:34,332156.0,397220.0,2022-01-20 18:30:00 WET,2022-01-20,18:30:00,Link,342,47,147,9,2,4,112,13,8,0,,-,0,0,0,,https://www.facebook.com/105044957514/posts/10158966254647515,Francisco Rodrigues dos Santos voltou a pedir para o seu partido ficar com a Defesa caso haja um Governo centro-direita,https://rr.sapo.pt/noticia/politica/2022/01/20/rui-rio-admite-possibilidade-de-dar-pasta-da-defesa-ao-cds/269072/,,,Rui Rio admite possibilidade de dar pasta da Defesa ao CDS - Renascença,Francisco Rodrigues dos Santos voltou a pedir para o seu partido ficar com a Defesa caso haja um Governo centro-direita.,,,,342,5.8
38,Expresso,jornalexpresso,43218682948,TOPIC_NEWSPAPER,PT,"Página oficial do Expresso no Facebook. As notícias e a opinião que interessam. Todos os dias, a todas as horas 
https://expresso.pt",2009-01-03 09:57:23,760854.0,797392.0,2022-01-23 20:26:06 WET,2022-01-23,20:26:06,Link,327,172,80,3,5,3,48,1,13,2,,-,0,0,0,,https://www.facebook.com/43218682948/posts/10159336149422949,"Francisco Rodrigues dos Santos passou o domingo entre produtos alimentares. De manhã, na Feira do Fumeiro admitiu que a exploração de lítio pode ser uma oportunidade para Portugal. Ao almoço, em Matosinhos, defendeu alterações nas regras da restauração",https://expresso.pt/eleicoes-legislativas-2022/cds-pp-quer-fim-de-certificado-covid-19-em-restaurantes-e-iva-a-6,https://expresso.pt/eleicoes-legislativas-2022/cds-pp-quer-fim-de-certificado-covid-19-em-restaurantes-e-iva-a-6/,,CDS-PP quer fim de certificado covid-19 em restaurantes e IVA a 6%,,,,,327,3.55
40,SIC Notícias,sicnoticias,150808986387,TV_CHANNEL,PT,"Obrigado por visitar a SIC Notícias. 

Aqui pode seguir os conteúdos que passam na televisão e os exclusivos do site: em texto, vídeo e em fotos. 

Acompanhe também as notícias de última hora em direto. 

http://sicnoticias.pt/ ",2009-09-09 10:03:09,1763908.0,1940902.0,2022-01-12 21:16:22 WET,2022-01-12,21:16:22,Link,315,35,205,4,0,2,54,9,6,0,,-,0,0,0,,https://www.facebook.com/150808986387/posts/10160380396486388,Debate entre Francisco Rodrigues dos Santos e André Ventura prolongou-se por mais de meia hora.,https://sicnoticias.pt/eleicoes-legislativas/legislativas-cds-e-chega-trocam-acusacoes-de-direita-mariquinhas-e-fanatismo-em-debate-tenso/,,,Legislativas: CDS e Chega trocam acusações de “direita mariquinhas” e fanatismo em debate tenso,Debate entre Francisco Rodrigues dos Santos e André Ventura prolongou-se por mais de meia hora.,,,,315,3.06
42,CNN Portugal,cnnportugal,101826228779402,TV_CHANNEL,PT,"CNN Portugal. A força da informação, 24 horas por dia, em direto e em português.  Acompanhe no canal 7, em cnnportugal.pt e descarregue a nossa app. #EmTodasAsFrentes
",2021-05-24 11:30:20,1156245.0,1140258.0,2022-01-18 23:30:07 WET,2022-01-18,23:30:07,Link,292,61,142,6,2,1,44,3,33,0,,-,0,0,0,,https://www.facebook.com/101826228779402/posts/240451704916853,"O líder do CDS-PP diz que vai fazer voz grossa para equiparar a tourada aos restantes espetáculos culturais, com o IVA a 6%. E ataca o PAN pela posição anti-touradas.",https://cnnportugal.iol.pt/videos/cds-defende-descida-do-iva-das-touradas-para-6/61e6b4930cf2c7ea0f13dcbe?utm_source=facebook&utm_medium=social&utm_campaign=ed-cnnportugal,https://cnnportugal.iol.pt/videos/cds-defende-descida-do-iva-das-touradas-para-6/61e6b4930cf2c7ea0f13dcbe,,CDS defende descida do IVA das touradas para 6%,,,,,292,2.32
43,Observador,ObservadorOnTime,111978555633494,NEWS_SITE,PT,"Obrigado por visitar o Observador no Facebook. Aqui queremos partilhar informação, interagir com os nossos leitores e discutir ideias.",2012-11-27 14:41:38,828630.0,934013.0,2022-01-04 17:23:45 WET,2022-01-04,17:23:45,Link,286,22,169,5,1,2,79,1,7,0,,-,0,0,0,,https://www.facebook.com/111978555633494/posts/2275057592658902,"Em entrevista ao Observador, o líder do CDS sublinha que não quer estar dependente do Chega para ""formar soluções governativas"", mas admite que uma solução idêntica à dos Açores pode ser replicável.",https://observador.pt/programas/sob-escuta/queremos-ver-o-chega-pelas-costas/?utm_medium=Social&utm_source=Facebook#Echobox=1641311319,,,"""Queremos ver o Chega pelas costas""",,,,,286,3.25
44,CNN Portugal,cnnportugal,101826228779402,TV_CHANNEL,PT,"CNN Portugal. A força da informação, 24 horas por dia, em direto e em português.  Acompanhe no canal 7, em cnnportugal.pt e descarregue a nossa app. #EmTodasAsFrentes
",2021-05-24 11:30:20,1155396.0,1138841.0,2022-01-10 22:10:39 WET,2022-01-10,22:10:39,Live Video Complete,285,105,132,8,18,0,12,3,5,2,owned,Yes,7519,7695,0,00:27:21,https://www.facebook.com/101826228779402/posts/515767229654905,Francisco Rodrigues dos Santos e Rui Tavares frente a frente. Acompanhe aqui o debate e deixe os seus comentários.,https://www.facebook.com/cnnportugal/videos/515767229654905/,,,DECISÃO 22: Debate CDS vs Livre,,,,,285,-5.21
46,Observador,ObservadorOnTime,111978555633494,NEWS_SITE,PT,"Obrigado por visitar o Observador no Facebook. Aqui queremos partilhar informação, interagir com os nossos leitores e discutir ideias.",2012-11-27 14:41:38,828630.0,934013.0,2022-01-04 23:44:58 WET,2022-01-04,23:44:58,Link,280,79,157,8,0,0,34,2,0,0,,-,0,0,0,,https://www.facebook.com/111978555633494/posts/2275286372636024,"A líder de um partido ""animalista"" e ""radical"" contra um líder do século passado, ultrapassado em todas matérias estruturais. Sousa Real e Rodrigues dos Santos mediram forças e não pouparam mimos.",https://observador.pt/2022/01/04/contra-o-pan-lider-do-cds-pos-a-carne-toda-no-assador/?utm_medium=Social&utm_source=Facebook#Echobox=1641339628,,,"Contra o PAN, líder do CDS pôs a carne toda no assador",,,,,280,3.18
47,Observador,ObservadorOnTime,111978555633494,NEWS_SITE,PT,"Obrigado por visitar o Observador no Facebook. Aqui queremos partilhar informação, interagir com os nossos leitores e discutir ideias.",2012-11-27 14:41:38,828630.0,934013.0,2022-01-04 19:33:00 WET,2022-01-04,19:33:00,Native Video,275,75,113,11,4,3,58,6,3,2,owned,Yes,8618,8646,0,00:10:34,https://www.facebook.com/111978555633494/posts/2275063219325006,"O líder centrista, em entrevista ao Observador, diz que gostava de ""ver o Chega pelas costas"", mas admite repetir uma solução no continente igual à dos Açores, porque o ""CDS nunca será maioritário"".",https://www.facebook.com/ObservadorOnTime/videos/476030760533216/,,,"""Vamos ver se o PSD vai precisar ou não do CDS"". O essencial da entrevista a Rodrigues dos Santos",,,,,275,2.55
49,Diário de Notícias,DiariodeNoticias.pt,196064380421881,MEDIA_NEWS_COMPANY,PT,Esta é a página Facebook do Diário de Notícias - Há mais de 150 anos a contar as histórias de Portugal e do mundo,2011-02-24 13:02:07,1328993.0,1335885.0,2022-01-25 17:04:57 WET,2022-01-25,17:04:57,Link,270,25,100,4,0,1,131,4,3,2,,-,0,0,0,,https://www.facebook.com/196064380421881/posts/5487756297919303,O presidente do CDS-PP adiantou algumas das propostas que quer pôr em prática se integrar um próximo governo de direita,https://www.dn.pt/politica/francisco-rodrigues-dos-santos-ja-tem-propostas-para-quando-for-ministro-da-defesa--14525650.html,,,Francisco Rodrigues dos Santos já tem propostas para ″quando for ministro da Defesa″,"O presidente do CDS-PP afirmou que o partido ""sempre permitiu aos ex-combatentes ter voz no parlamento"" e considera positivo que mais partidos queiram defender os ex-militares.",,,,270,2.76
50,Observador,ObservadorOnTime,111978555633494,NEWS_SITE,PT,"Obrigado por visitar o Observador no Facebook. Aqui queremos partilhar informação, interagir com os nossos leitores e discutir ideias.",2012-11-27 14:41:38,829103.0,935902.0,2022-01-23 11:04:54 WET,2022-01-23,11:04:54,Link,270,57,158,4,7,0,40,2,2,0,,-,0,0,0,,https://www.facebook.com/111978555633494/posts/2291041107727217,"O primeiro-ministro e secretário-geral do PS, António Costa, inscreveu-se para votar em mobilidade e exerceu o seu direito no Porto, esta manhã.",https://observador.pt/liveblogs/mais-de-315-mil-eleitores-podem-votar-em-mobilidade/?utm_medium=Social&utm_source=Facebook#Echobox=1642935596,https://observador.pt/liveblogs/mais-de-315-mil-eleitores-podem-votar-em-mobilidade/,,"Em direto/ Ventura veste camuflado, Rodrigues dos Santos diz que não o merece","António Costa votou esta manhã, no Porto, ao lado do amigo Rui Moreira. Rui Rio está cada vez mais confiante e diz que vai ter ""grande vitória, de hoje a oito"".",,,,270,3.97
51,Expresso,jornalexpresso,43218682948,TOPIC_NEWSPAPER,PT,"Página oficial do Expresso no Facebook. As notícias e a opinião que interessam. Todos os dias, a todas as horas 
https://expresso.pt",2009-01-03 09:57:23,760732.0,796883.0,2022-01-09 22:26:59 WET,2022-01-09,22:26:59,Link,267,47,124,5,2,1,84,0,4,0,,-,0,0,0,,https://www.facebook.com/43218682948/posts/10159313235712949,O líder do CDS apareceu mais sereno no debate com António Costa e começou nos temas mais difíceis para o atual primeiro-ministro. Os comentadores Expresso dividem-se entre empate e uma vitória curta para Costa. Veja as notas e comentários,https://expresso.pt/eleicoes-legislativas-2022/no-costa-vs-chicao-quase-havia-uma-surpresa-as-notas-e-avaliacoes-dos-comentadores-expresso,https://expresso.pt/eleicoes-legislativas-2022/no-costa-vs-chicao-quase-havia-uma-surpresa-as-notas-e-avaliacoes-dos-comentadores-expresso/,,No Costa vs Chicão quase havia uma surpresa (as notas e avaliações dos comentadores Expresso),,,,,267,2.78
52,Expresso,jornalexpresso,43218682948,TOPIC_NEWSPAPER,PT,"Página oficial do Expresso no Facebook. As notícias e a opinião que interessam. Todos os dias, a todas as horas 
https://expresso.pt",2009-01-03 09:57:23,760765.0,796996.0,2022-01-12 20:45:07 WET,2022-01-12,20:45:07,Link,265,34,158,6,1,1,47,12,6,0,,-,0,0,0,,https://www.facebook.com/43218682948/posts/10159318036917949,"Enquanto atirava com “a direita trauliteirazinha”, “o cata-vento do sistema político” ou “a caricatura da direita que interessa à esquerda” para descrever o Chega, Francisco Rodrigues dos Santos teve de ouvir de André Ventura que o CDS é “a bengala rejeitada do PSD”",https://expresso.pt/expresso/chega-vs-cds-quando-o-rei-da-bazofia-e-a-direita-mariquinhas-se-encontram-sobra-o-insulto,https://expresso.pt/expresso/chega-vs-cds-quando-o-rei-da-bazofia-e-a-direita-mariquinhas-se-encontram-sobra-o-insulto/,,"Chega vs CDS. Quando “o rei da bazófia“ e “a direita mariquinhas“ se encontram, sobra o insulto - Expresso","Enquanto atirava com “a direita trauliteirazinha“, “o cata-vento do sistema político“ ou “a caricatura da direita que interessa à esquerda“ para descrever o Chega, Francisco Rodrigues dos Santos teve de ouvir de André Ventura que o CDS é “a bengala rejeitada do PSD“, “andou a i...",,,,265,2.76
53,SIC Notícias,sicnoticias,150808986387,TV_CHANNEL,PT,"Obrigado por visitar a SIC Notícias. 

Aqui pode seguir os conteúdos que passam na televisão e os exclusivos do site: em texto, vídeo e em fotos. 

Acompanhe também as notícias de última hora em direto. 

http://sicnoticias.pt/ ",2009-09-09 10:03:09,1763793.0,1940738.0,2022-01-09 22:07:00 WET,2022-01-09,22:07:00,Link,263,90,157,7,6,1,1,1,0,0,,-,0,0,0,,https://www.facebook.com/150808986387/posts/10160374868276388,Veja aqui o frente a frente entre o candidato do PS e o candidato do CDS às eleições legislativas de 2022.,https://sicnoticias.pt/eleicoes-legislativas/antonio-costa-vs-francisco-rodrigues-dos-santos-o-debate-ao-minuto/,,,António Costa vs. Francisco Rodrigues dos Santos: o debate na íntegra,Veja aqui o frente a frente entre o candidato do PS e o candidato do CDS às eleições legislativas de 2022.,,,,263,2.55
